Issue ID,Issue Type,Summary,Description,Priority,Story Points,Parent ID,Epic Name,Sprint,Assignee Role,Depends On,Estimate Hours,Acceptance Criteria,Definition of Done,Labels,Related Endpoints
S3,Story,Case Creation with Required Fields,"Implement the initial case creation flow so lawyers can open a valid expediente with the required business fields, ownership context, and default lifecycle values. This story covers both API and UI validation for name, legal area, description, visibility, and the assignment of the case to the authenticated owner or firm context.",P0,3,E2,,Sprint 1,Flutter Developer 1,S1,,,"Given name and legal area, when I create the case, then it is stored. Given missing required fields, when I create the case, then validation fails. Given a created case, then status is Pendiente de analisis.","Case creation UI and API validation are complete.","cases","GET /cases, POST /cases, GET /cases/{id}"
S4,Story,Case Lifecycle Management,"Implement the controlled lifecycle of a case, including valid transitions, archival and closure behavior, updated timestamps, and preservation of historical visibility. This story ensures status changes are deliberate, rule-based, and do not compromise the integrity or traceability of the expediente.",P1,3,E2,,Sprint 1,Backend Developer,S3,,,"Given an allowed transition, when I update status, then it persists. Given a closed or archived case, then history remains accessible.","Lifecycle rules are implemented and tested.","cases,history","PATCH /cases/{id}"
S5,Story,Document Upload and Status Tracking,"Implement the user-facing document intake flow for cases, allowing supported files to be uploaded, validated, stored, and tracked through visible processing states. This story covers the connection between upload actions and the backend processing pipeline so users understand what has been received and what is still being processed.",P0,8,E3,,Sprint 1,Flutter Developer 2,S3,,,"Given unsupported formats or oversize files, upload is rejected. Given a valid file, then a document record and version are created. Given processing starts, then status updates are visible.","Upload flow, validation, and status updates work end to end.","documents,upload","POST /cases/{id}/documents, GET /cases/{id}/documents"
S6,Story,OCR and Document Quality Handling,"Implement OCR and extraction quality handling for scanned or image-based documents so uploaded evidence becomes analyzable when possible and is explicitly blocked when quality is too poor. This story covers asynchronous extraction, status changes, and the business rule that low-quality content cannot be used for analysis.",P0,5,E3,,Sprint 1,AI Engineer,S5,,,"Given a scanned PDF, when processing runs, then OCR is attempted. Given low-quality extraction, then status becomes Calidad insuficiente. Given insufficient quality, then analysis is blocked.","OCR pipeline and quality gate are implemented.","ocr,documents","GET /cases/{id}/documents"
S7,Story,Verified Legal Analysis,"Implement the legal analysis flow that produces structured outputs only when enough trustworthy case and corpus evidence exists. This story covers analysis requests, retrieval-backed generation, minimum citation requirements, required legal sections, and persistence of corpus version and disclaimer metadata.",P0,8,E4,,Sprint 2,AI Engineer,S6,,,"Given enough evidence, when analysis completes, then it includes all mandatory sections. Given completed analysis, then at least 3 norms and 2 rulings are cited. Given completed analysis, then corpus version and disclaimer are stored.","Analysis API, prompt flow, verifier, and persistence are complete.","analysis,rag","POST /cases/{id}/analyses, GET /cases/{id}/analyses/{analysis_id}"
S8,Story,Credit Refund on Technical Failure,"Implement the billing safeguard that refunds consumed credits when an analysis fails due to a technical platform error rather than a user or business-rule condition. This story ensures usage accounting remains fair, auditable, and reversible when the system itself cannot complete the requested operation.",P1,3,E4,,Sprint 2,Backend Developer,S7,,,"Given a technical failure, then analysis status records the failure. Given a consumed credit event, then a refund ledger entry is created.","Refund ledger behavior is implemented behind feature flag.","credits,analysis","POST /cases/{id}/analyses"
S9,Story,Verified Legal Chat,"Implement the legal chat flow so users can ask contextual questions and receive grounded answers only when citations are verifiable. This story includes question validation, retrieval, response generation, citation display, and suppression of answers that do not pass verification.",P0,8,E4,,Sprint 2,AI Engineer,S6,,,"Given a valid question length, when I ask, then the response includes citations. Given invalid length, then validation fails. Given unverifiable citations, then the response is withheld.","Chat flow returns verified cited responses only.","chat,rag","POST /chat/conversations, GET /chat/conversations/{id}, POST /chat/conversations/{id}/messages"
S10,Story,Case-Linked Conversations,"Implement the ability to associate a conversation with a case while preserving strict separation between conversational activity and formal case state. This story ensures chat can be contextual to a matter without silently modifying case facts, ownership, or lifecycle fields.",P1,3,E4,,Sprint 2,Backend Developer,S9,,,"Given a linked conversation, then the link is stored. Given chat activity, then no automatic mutation of case data occurs.","Conversation linking and persistence are implemented.","chat,history","POST /chat/conversations, PATCH /chat/conversations/{id}"
S11,Story,Editable Tutela Drafts,"Implement the drafting flow for tutela documents so users can generate an initial version from case and analysis context and then refine it manually. This story combines structured generation with human editing rather than treating AI output as a final immutable result.",P1,5,E5,,Sprint 2,Flutter Developer 2,S7,,,"Given prior analysis, when draft generation runs, then required sections are present. Given a generated draft, then I can edit it.","Tutela draft generation and editing are complete.","drafting,tutela","POST /cases/{id}/drafts/tutela, PATCH /drafts/{id}"
S12,Story,Editable Derecho de Peticion Drafts,"Implement the drafting flow for derecho de peticion documents, including generation of required sections, applicable legal framing, and recipient-aware content that users can later edit before export or delivery.",P1,5,E5,,Sprint 2,AI Engineer,S7,,,"Given draft generation, then required sections are present. Given a recipient, then the applicable regime is identified.","Derecho de peticion draft generation is complete.","drafting,peticion","POST /cases/{id}/drafts/derecho-de-peticion, PATCH /drafts/{id}"
S13,Story,Analysis Export to PDF and DOCX,"Implement the export capability for completed analyses so users can produce formal deliverables in PDF or DOCX format with the required metadata, sources, and disclaimer language. This story turns structured results into shareable outputs without losing traceability.",P1,3,E5,,Sprint 2,Backend Developer,S7,,,"Given an analysis, when export completes, then the file includes case name, date, results, sources, and disclaimer.","Export generation and secured download work correctly.","export","POST /analyses/{id}/export, POST /drafts/{id}/export"
S14,Story,Complete Case History Timeline,"Implement the unified history timeline that lets users inspect the full sequence of relevant case activity, including uploads, analyses, chats, drafts, and sharing events. This story provides the traceability layer needed to understand how a matter evolved over time.",P1,3,E6,,Sprint 2,Flutter Developer 1,S4|S10,,,"Given a case, then analyses, chats, docs, generated docs, and share events appear chronologically.","History timeline is visible and consistent across event types.","history,audit","GET /cases/{id}/history"
T1,Task,Implement auth API and JWT,"Build the core auth endpoints and services for register, login, and refresh, including password hashing, JWT creation and validation, role claims, and enforcement of the current user contract where role_id is limited to 1..3 and status is a boolean access flag.",P0,,S1,,Sprint 1,Backend Developer,,10,,"Endpoints, tests, and API docs are complete.","backend,auth","POST /auth/register, POST /auth/login, POST /auth/refresh"
T2,Task,Build Flutter auth shell and route guards,"Build the frontend authentication shell, including sign-in screens, session persistence, route protection, token-aware startup flow, and redirects that prevent unauthenticated or unauthorized users from reaching protected sections of the application.",P0,,S1,,Sprint 1,Flutter Developer 1,T1,12,,"Users can sign in and navigate only to authorized sections.","frontend,auth","POST /auth/login, POST /auth/refresh"
T3,Task,Model users firms and access policies,"Define the users and firms authorization model, including numeric role_id mapping, boolean user status handling, firm membership constraints, owner relationships, and middleware or service rules that block cross-tenant access by default.",P0,,S2,,Sprint 1,Backend Developer,T1,8,,"Role checks cover role_id values 1 to 3, boolean user status, and firm membership paths.","backend,rbac,firms","GET /users, POST /users, PATCH /users/{user_id}, DELETE /users/{user_id}, GET /cases, POST /cases, GET /cases/{id}, PATCH /cases/{id}, POST /cases/{id}/share, GET /cases/{id}/share"
T4,Task,Implement case sharing API and audit logging,"Create the backend endpoints and persistence flow for granting, listing, and enforcing case access permissions. This task includes storing the granted user, permission level, granting actor, and audit events so every share action is traceable and reversible at the business level.",P0,,S2,,Sprint 1,Backend Developer,T3,10,,"Only firm admins can share and audit records are persisted.","backend,sharing,audit","POST /cases/{id}/share, GET /cases/{id}/share"
T31,Task,Implement password recovery and reset endpoints,"Create the public auth endpoints for password recovery and password reset, including token issuance, expiration timestamps, single-use invalidation, minimum password validation, and a neutral recovery response that does not reveal whether an email exists.",P0,,S15,,Sprint 1,Backend Developer,T1,8,,"Recovery flow works end to end with validation and automated tests.","backend,auth,recovery","POST /auth/password-recovery, POST /auth/password-reset"
T32,Task,Align auth and user schemas with current contract,"Refactor request and response schemas, DTOs, and validation rules so auth and user payloads match the latest specification: role_id as integer 1 through 3, status as boolean, and no password_hash exposure in public responses.",P0,,S15,,Sprint 1,Backend Developer,T1,4,,"Schemas, validation rules, and examples match the API specification.","backend,schemas,auth","POST /auth/register, POST /auth/login, POST /auth/refresh, POST /auth/password-recovery, POST /auth/password-reset, GET /users, POST /users, PATCH /users/{user_id}, DELETE /users/{user_id}"
T33,Task,Implement user CRUD API,"Create the administrative user management endpoints for listing, creating, updating, and deactivating users. The API must enforce admin-only access, tenant-safe filtering, firm-aware visibility rules, soft-delete behavior through status, and omission of password_hash from all public payloads.",P0,,S16,,Sprint 1,Backend Developer,T3,12,,"User management endpoints pass API tests and never expose password_hash.","backend,users,admin","GET /users, POST /users, PATCH /users/{user_id}, DELETE /users/{user_id}"
T34,Task,Implement users and firms persistence model,"Create the persistence layer, migrations, or repository contracts for users and firms based on the agreed schema: unique email, indexed firm-role access, nullable firm_id, password_hash storage, boolean status, and ownership references needed for firm administration.",P0,,S16,,Sprint 1,Backend Developer,T3,8,,"Users and firms schema supports role_id, firm_id, boolean status, and documented indexes.","backend,db,users,firms","POST /auth/register, GET /users, POST /users, PATCH /users/{user_id}, DELETE /users/{user_id}"
T35,Task,Build admin user management UI,"Build the admin-facing user management interface with searchable user lists, create and edit forms, status toggles, role selectors, and deactivation actions. The UI should expose only allowed controls for authorized admins and mirror the API validation rules for role_id, firm membership, and status.",P1,,S16,,Sprint 1,Flutter Developer 1,T33,12,,"Authorized admins can manage users from the UI with proper validation feedback.","frontend,users,admin","GET /users, POST /users, PATCH /users/{user_id}, DELETE /users/{user_id}"
T5,Task,Implement case CRUD API,"Create the backend endpoints for creating, listing, retrieving, and updating cases, including validation for required fields, ownership assignment, firm scoping, and default values such as initial status and visibility flags. The task also covers API tests and error handling for unauthorized access.",P0,,S3,,Sprint 1,Backend Developer,T1,14,,"Case CRUD passes API tests and enforces required fields.","backend,cases","GET /cases, POST /cases, GET /cases/{id}, PATCH /cases/{id}"
T6,Task,Build case list detail and create screens,"Build the frontend flows for case creation and navigation, including the case list, case detail view, required-field forms, loading states, empty states, and validation feedback so users can create and review their matters end to end from the UI.",P0,,S3,,Sprint 1,Flutter Developer 1,T2|T5,16,,"Users can create and browse cases from the UI.","frontend,cases","GET /cases, POST /cases, GET /cases/{id}"
T7,Task,Implement case lifecycle transitions,"Implement the business rules that govern case status changes, including allowed transitions, archive and close behavior, updated timestamps, and persistence rules that preserve history and prevent invalid mutations on inactive or completed matters.",P1,,S4,,Sprint 1,Backend Developer,T5,8,,"Lifecycle transitions enforce allowed states and preserve data.","backend,cases,history","PATCH /cases/{id}"
T8,Task,Build case status controls in UI,"Add case lifecycle controls to the frontend detail view, including status change actions, confirmation prompts, disabled states for invalid transitions, and clear success or error feedback so users understand when and why a case can change state.",P1,,S4,,Sprint 1,Flutter Developer 1,T6|T7,6,,"Users can move cases through allowed statuses from the UI.","frontend,cases","PATCH /cases/{id}"
T9,Task,Implement document upload API and object storage integration,"Create the document intake API for multipart uploads, file-type and file-size validation, object storage writes, and metadata persistence tied to the owning case. The task includes rejecting unsupported or unsafe files and returning the initial processing state needed by downstream workers.",P0,,S5,,Sprint 1,Backend Developer,T5,18,,"Supported files upload successfully and invalid files are rejected.","backend,documents,storage","POST /cases/{id}/documents"
T10,Task,Build document upload and status UI,"Build the frontend document intake experience with upload controls, file validation messaging, document listing, and visible processing states so users can submit files and monitor whether they are pending, processing, insufficient, or ready for analysis.",P0,,S5,,Sprint 1,Flutter Developer 2,T9,18,,"Users can upload files and monitor status transitions.","frontend,documents","POST /cases/{id}/documents, GET /cases/{id}/documents"
T11,Task,Implement document versioning model,"Implement the backend model and persistence rules for non-destructive document versioning, including current-version pointers, historical retention, and case-linked metadata so updates or replacements do not erase prior uploaded evidence.",P0,,S5,,Sprint 1,Backend Developer,T9,8,,"Document history preserves prior versions.","backend,documents","POST /cases/{id}/documents, GET /cases/{id}/documents"
T12,Task,Implement OCR extraction worker,"Build the asynchronous OCR and text extraction worker for scanned PDFs and image-heavy documents, including job pickup, extraction execution, raw output persistence, and status updates that feed the document processing pipeline.",P0,,S6,,Sprint 1,AI Engineer,T9,20,,"Scanned documents are OCR-processed asynchronously.","ai,ocr","GET /cases/{id}/documents"
T13,Task,Implement text extraction quality scoring,"Create the quality evaluation stage for extracted document text, including heuristics or scoring rules that detect unreadable output, low-confidence extraction, or incomplete content and mark those documents as insufficient for analysis.",P0,,S6,,Sprint 1,AI Engineer,T12,8,,"Low-quality documents are blocked from analysis with clear status.","ai,ocr,quality","GET /cases/{id}/documents"
T14,Task,Implement chunking embeddings and pgvector indexing,"Build the document post-processing stage that splits extracted text into chunks, generates embeddings, attaches case metadata, and stores vectors in pgvector so retrieval remains searchable and isolated by case and source.",P0,,S6,,Sprint 1,AI Engineer,T12,16,,"Processed documents become searchable chunks isolated by case.","ai,embeddings,pgvector","Supports POST /cases/{id}/analyses and POST /chat/conversations/{id}/messages"
T15,Task,Ingest legal corpus metadata and chunks,"Load the legal reference corpus, including norms and jurisprudence, into the source registry and vector storage with version metadata, source identifiers, and searchable text so the analysis pipeline can retrieve authoritative legal context.",P0,,S7,,Sprint 2,AI Engineer,T14,16,,"Corpus entries are searchable and versioned.","ai,corpus","Supports POST /cases/{id}/analyses and POST /chat/conversations/{id}/messages"
T16,Task,Build retrieval orchestration and citation verifier,"Implement the orchestration layer that retrieves evidence from both case knowledge and the legal corpus, composes candidate context for generation, and verifies that returned citations are real, relevant, and attributable before any response is released.",P0,,S7,,Sprint 2,AI Engineer,T14|T15,20,,"Only verified sources appear in analysis results.","ai,rag,verifier","POST /cases/{id}/analyses, POST /chat/conversations/{id}/messages"
T17,Task,Implement analysis generation API,"Create the backend API and execution flow for requesting legal analyses, dispatching asynchronous processing, polling status, and persisting structured output sections, citations, corpus version, disclaimers, and failure reasons when generation cannot be completed.",P0,,S7,,Sprint 2,Backend Developer,T16,18,,"Analysis results persist required sections, citations, corpus version, and disclaimer.","backend,analysis","POST /cases/{id}/analyses, GET /cases/{id}/analyses/{analysis_id}"
T18,Task,Build analysis UI,"Build the frontend experience for requesting, monitoring, and reading legal analyses, including action triggers, loading and failure states, status polling, and structured rendering of sections, warnings, citations, and disclaimers.",P0,,S7,,Sprint 2,Flutter Developer 2,T17,16,,"Users can request and review legal analysis from the UI.","frontend,analysis","POST /cases/{id}/analyses, GET /cases/{id}/analyses/{analysis_id}"
T19,Task,Implement credit ledger and refund workflow,"Implement the internal credit accounting flow for analysis execution, including debit events, failure classification, and automatic refund behavior for technical failures behind a feature flag so billing logic remains auditable and reversible.",P1,,S8,,Sprint 2,Backend Developer,T17,8,,"Refund events are created only on technical failures.","backend,credits","POST /cases/{id}/analyses"
T20,Task,Implement chat API and persistence,"Create the backend conversation and message APIs with persistence for messages, participants, timestamps, and optional case links so legal chat can be resumed, audited, and connected to a matter without mutating case data automatically.",P0,,S9,,Sprint 2,Backend Developer,T16,14,,"Chat messages persist with linkage to conversations and optional case IDs.","backend,chat","POST /chat/conversations, GET /chat/conversations/{id}, POST /chat/conversations/{id}/messages"
T21,Task,Implement chat generation with verified citations,"Implement the AI chat execution flow that performs retrieval, grounded response generation, citation validation, and persistence of the final answer and supporting sources, blocking delivery whenever the citation verifier cannot confirm the result.",P0,,S9,,Sprint 2,AI Engineer,T16|T20,14,,"Chat responses are blocked unless citations are verified.","ai,chat,verifier","POST /chat/conversations/{id}/messages"
T22,Task,Build legal chat UI,"Build the frontend legal chat interface with conversation list, message composer, streaming or pending states if applicable, citation display, and error handling so users can ask questions and review grounded answers in a usable conversation flow.",P0,,S9,,Sprint 2,Flutter Developer 2,T20|T21,16,,"Users can send legal questions and inspect cited answers.","frontend,chat","POST /chat/conversations, GET /chat/conversations/{id}, POST /chat/conversations/{id}/messages"
T23,Task,Implement conversation-case linking rules,"Implement the backend rules and persistence for optionally linking a conversation to a case while explicitly preventing chat activity from silently updating case facts, status, ownership, or other case metadata.",P1,,S10,,Sprint 2,Backend Developer,T20,6,,"Conversations can be linked to cases without changing case facts or status.","backend,chat,history","POST /chat/conversations, PATCH /chat/conversations/{id}"
T24,Task,Implement tutela draft generation flow,"Implement the generation workflow for tutela drafts, using case context, verified analysis output, and relevant jurisprudence to produce editable structured content that includes the mandatory legal sections required by the business domain.",P1,,S11,,Sprint 2,AI Engineer,T17,12,,"Tutela drafts include required sections and remain editable.","ai,drafting,tutela","POST /cases/{id}/drafts/tutela"
T25,Task,Build draft editor UI,"Build the frontend draft editing workspace with editable content areas, save interactions, draft retrieval, and export entry points so users can review and modify generated legal drafts before finalizing them.",P1,,S11,,Sprint 2,Flutter Developer 2,T24,14,,"Users can edit generated drafts before export.","frontend,drafting","POST /cases/{id}/drafts/tutela, POST /cases/{id}/drafts/derecho-de-peticion, PATCH /drafts/{id}"
T26,Task,Implement derecho de peticion generation flow,"Implement the generation workflow for derecho de peticion documents, including recipient-aware content, legal basis assembly, and applicable regime identification so the draft output follows the required structure and can later be edited or exported.",P1,,S12,,Sprint 2,AI Engineer,T17,12,,"Derecho de peticion drafts include required content and regime selection.","ai,drafting,peticion","POST /cases/{id}/drafts/derecho-de-peticion"
T27,Task,Implement export service,"Implement the backend export flow that renders analysis or drafting outputs into PDF and DOCX, injects disclaimer and source metadata, stores generated files securely, and returns controlled download references suitable for authenticated access.",P1,,S13,,Sprint 2,Backend Developer,T17|T25,12,,"Exports render correctly and are stored securely.","backend,export","POST /analyses/{id}/export, POST /drafts/{id}/export"
T28,Task,Implement history timeline aggregation API,"Create the backend aggregation API that collects case-related events from documents, analyses, chats, drafts, and sharing activity into a single chronological feed with actor metadata, event typing, and stable ordering for frontend consumption.",P1,,S14,,Sprint 2,Backend Developer,T4|T23|T27,10,,"History API returns complete ordered case activity.","backend,history","GET /cases/{id}/history"
T29,Task,Build history timeline UI,"Build the frontend timeline view that renders the aggregated case history feed with event grouping, timestamps, actor information, and event-specific presentation so users can inspect how a case evolved over time.",P1,,S14,,Sprint 2,Flutter Developer 1,T28,10,,"Users can review full case evolution from the UI.","frontend,history","GET /cases/{id}/history"
T30,Task,Create end-to-end regression suite and release checklist,"Create the QA regression suite and release-readiness checklist covering authentication, sharing, document intake, OCR, analysis, chat, drafting, export, and history so the team can validate critical pilot flows consistently before each release.",P0,,E6,,Sprint 2,QA Engineer,T1|T4|T9|T12|T17|T20|T24|T27|T29,18,,"Critical paths have repeatable test coverage and release checklist sign-off.","qa,release","Cross-cutting: auth, users, cases, documents, analyses, chat, drafts, export, history endpoints"
